Year,Value,Month,City
1990,8.9,01,Abilene
1990,8.9,02,Abilene
1990,8.9,03,Abilene
1990,9.0,04,Abilene
1990,9.1,05,Abilene
1990,8.9,06,Abilene
1990,8.9,07,Abilene
1990,9.0,08,Abilene
1990,9.4,09,Abilene
1990,9.4,10,Abilene
1990,9.4,11,Abilene
1990,9.5,12,Abilene
1991,9.2,01,Abilene
1991,9.4,02,Abilene
1991,9.4,03,Abilene
1991,9.5,04,Abilene
1991,9.5,05,Abilene
1991,9.3,06,Abilene
1991,9.2,07,Abilene
1991,9.3,08,Abilene
1991,9.6,09,Abilene
1991,9.6,10,Abilene
1991,9.6,11,Abilene
1991,9.7,12,Abilene
1992,9.7,01,Abilene
1992,9.8,02,Abilene
1992,9.8,03,Abilene
1992,9.9,04,Abilene
1992,9.9,05,Abilene
1992,9.7,06,Abilene
1992,9.8,07,Abilene
1992,9.7,08,Abilene
1992,10.2,09,Abilene
1992,9.9,10,Abilene
1992,10.1,11,Abilene
1992,10.1,12,Abilene
1993,10.1,01,Abilene
1993,10.2,02,Abilene
1993,10.2,03,Abilene
1993,10.3,04,Abilene
1993,10.2,05,Abilene
1993,10.0,06,Abilene
1993,10.2,07,Abilene
1993,10.2,08,Abilene
1993,10.6,09,Abilene
1993,10.6,10,Abilene
1993,10.6,11,Abilene
1993,10.5,12,Abilene
1994,10.5,01,Abilene
1994,10.6,02,Abilene
1994,10.7,03,Abilene
1994,10.9,04,Abilene
1994,10.8,05,Abilene
1994,10.7,06,Abilene
1994,10.7,07,Abilene
1994,10.8,08,Abilene
1994,11.2,09,Abilene
1994,11.3,10,Abilene
1994,11.4,11,Abilene
1994,11.5,12,Abilene
1995,11.6,01,Abilene
1995,11.8,02,Abilene
1995,11.7,03,Abilene
1995,12.0,04,Abilene
1995,11.8,05,Abilene
1995,11.6,06,Abilene
1995,11.6,07,Abilene
1995,11.7,08,Abilene
1995,12.0,09,Abilene
1995,11.9,10,Abilene
1995,12.0,11,Abilene
1995,12.0,12,Abilene
1996,11.8,01,Abilene
1996,12.0,02,Abilene
1996,12.0,03,Abilene
1996,12.1,04,Abilene
1996,12.0,05,Abilene
1996,11.8,06,Abilene
1996,11.8,07,Abilene
1996,11.9,08,Abilene
1996,12.3,09,Abilene
1996,12.3,10,Abilene
1996,12.5,11,Abilene
1996,12.4,12,Abilene
1997,12.2,01,Abilene
1997,12.3,02,Abilene
1997,12.4,03,Abilene
1997,12.5,04,Abilene
1997,12.4,05,Abilene
1997,12.2,06,Abilene
1997,12.1,07,Abilene
1997,12.1,08,Abilene
1997,12.5,09,Abilene
1997,12.6,10,Abilene
1997,12.6,11,Abilene
1997,12.6,12,Abilene
1998,12.5,01,Abilene
1998,12.5,02,Abilene
1998,12.6,03,Abilene
1998,12.6,04,Abilene
1998,12.5,05,Abilene
1998,12.3,06,Abilene
1998,12.3,07,Abilene
1998,12.4,08,Abilene
1998,12.6,09,Abilene
1998,12.7,10,Abilene
1998,12.7,11,Abilene
1998,12.5,12,Abilene
1999,12.3,01,Abilene
1999,12.3,02,Abilene
1999,12.3,03,Abilene
1999,12.6,04,Abilene
1999,12.2,05,Abilene
1999,12.1,06,Abilene
1999,12.2,07,Abilene
1999,12.2,08,Abilene
1999,12.4,09,Abilene
1999,12.6,10,Abilene
1999,12.6,11,Abilene
